,RootMyc1,YawBrMyp,YawBrMzp
case_162_optimal_k_cases_turbsim_ref_outdata_162.mat,151979.49233322503,30235.819627651304,174645.6268692205
case_129_optimal_k_cases_turbsim_ref_outdata_129.mat,186439.492085769,40752.80413628956,243128.09669198308
case_254_optimal_k_cases_turbsim_ref_outdata_254.mat,140312.4209156665,5513.483537680866,36552.57613323394
case_221_optimal_k_cases_turbsim_ref_outdata_221.mat,147133.34692367094,6277.230661641699,48654.72690414777
case_17_optimal_k_cases_turbsim_ref_outdata_17.mat,154045.20075057374,6794.979590252415,51117.746050248395
case_357_optimal_k_cases_turbsim_ref_outdata_357.mat,140778.9279210715,18405.36700843841,96710.24749932814
case_322_optimal_k_cases_turbsim_ref_outdata_322.mat,147124.96249282,11544.435526036983,41393.32858337549
case_369_optimal_k_cases_turbsim_ref_outdata_369.mat,222240.75361012624,45727.60722288602,282724.1254109078
case_94_optimal_k_cases_turbsim_ref_outdata_94.mat,153562.83363420193,11795.780867161086,52109.046395280144
case_184_optimal_k_cases_turbsim_ref_outdata_184.mat,153558.40822658222,11796.546898230008,52129.43210999417
case_75_optimal_k_cases_turbsim_ref_outdata_75.mat,162133.6033289882,27826.090955525204,158126.5814302753
case_124_optimal_k_cases_turbsim_ref_outdata_124.mat,148773.75170737458,11208.024293548026,48352.23567496949
case_407_optimal_k_cases_turbsim_ref_outdata_407.mat,142709.7875586013,10877.396541485674,38023.771001676934
case_439_optimal_k_cases_turbsim_ref_outdata_439.mat,139753.8668558504,4428.34995628028,29671.084572504722
case_151_optimal_k_cases_turbsim_ref_outdata_151.mat,141045.49071195474,10919.340814494079,37753.7352413854
case_267_optimal_k_cases_turbsim_ref_outdata_267.mat,140382.017833293,18294.15773986133,96732.72913011491
case_382_optimal_k_cases_turbsim_ref_outdata_382.mat,152354.27933061725,11833.773486523849,48657.299052549555
case_212_optimal_k_cases_turbsim_ref_outdata_212.mat,154524.16644858415,11296.205381111984,46178.03840913079
case_259_optimal_k_cases_turbsim_ref_outdata_259.mat,139753.8668558504,4428.228779670362,29667.20442972499
case_19_optimal_k_cases_turbsim_ref_outdata_19.mat,154888.39883528574,7140.3671885112435,45574.859686347794
case_62_optimal_k_cases_turbsim_ref_outdata_62.mat,141057.89616809058,10919.132708045432,37749.382517719576
case_364_optimal_k_cases_turbsim_ref_outdata_364.mat,153555.1510002842,11796.64436327605,52146.36616543147
case_83_optimal_k_cases_turbsim_ref_outdata_83.mat,139762.61830089043,5714.938847038919,34843.642611557305
case_281_optimal_k_cases_turbsim_ref_outdata_281.mat,151920.12078955615,7572.608164433268,57579.88916345373
case_8_optimal_k_cases_turbsim_ref_outdata_8.mat,153721.1411381424,8320.797116129204,51306.02927736345
case_311_optimal_k_cases_turbsim_ref_outdata_311.mat,147133.0049442581,6277.225916233921,48636.65204465321
case_189_optimal_k_cases_turbsim_ref_outdata_189.mat,222456.50792316385,46034.34120946467,282434.5215410408
case_397_optimal_k_cases_turbsim_ref_outdata_397.mat,156209.24109690255,12312.556290487095,48214.14524434854
case_207_optimal_k_cases_turbsim_ref_outdata_207.mat,216812.92690248173,41105.83160351733,270882.2966994406
case_272_optimal_k_cases_turbsim_ref_outdata_272.mat,161697.0323631705,11012.717399805902,55193.58071567117
case_239_optimal_k_cases_turbsim_ref_outdata_239.mat,144153.41562883314,11226.844927264008,35752.72298446722
case_144_optimal_k_cases_turbsim_ref_outdata_144.mat,164739.9206512559,35674.53341962685,206389.57463732414
case_131_optimal_k_cases_turbsim_ref_outdata_131.mat,147134.02570099029,6277.243199937476,48551.9133690228
case_412_optimal_k_cases_turbsim_ref_outdata_412.mat,147124.65828376182,11544.434568116132,41397.57990935716
case_24_optimal_k_cases_turbsim_ref_outdata_24.mat,208149.63694312386,40939.99696746756,276381.5044213102
case_294_optimal_k_cases_turbsim_ref_outdata_294.mat,208887.38237346805,40910.28426304973,274192.3900924108
case_304_optimal_k_cases_turbsim_ref_outdata_304.mat,148711.7120826047,11208.117169334719,48362.04800918428
case_371_optimal_k_cases_turbsim_ref_outdata_371.mat,151919.92850394626,7572.614908104494,57584.516586347796
case_46_optimal_k_cases_turbsim_ref_outdata_46.mat,142715.2781334117,10878.147626866032,39017.34592351685
case_234_optimal_k_cases_turbsim_ref_outdata_234.mat,165002.37749279747,35747.701688532565,207555.40115993418
case_48_optimal_k_cases_turbsim_ref_outdata_48.mat,174267.32859410092,35011.219393237414,213346.67905226492
case_241_optimal_k_cases_turbsim_ref_outdata_241.mat,141039.2577534886,10919.340340287157,37751.804955462394
case_177_optimal_k_cases_turbsim_ref_outdata_177.mat,140837.25797343,18186.93333755087,96163.21400055953
case_102_optimal_k_cases_turbsim_ref_outdata_102.mat,251346.95064824988,45733.519486948724,289691.2911489666
case_421_optimal_k_cases_turbsim_ref_outdata_421.mat,141034.20652877048,10919.340340287157,37784.12856940369
case_149_optimal_k_cases_turbsim_ref_outdata_149.mat,144154.03215129426,11226.562475434244,35749.0474635377
case_51_optimal_k_cases_turbsim_ref_outdata_51.mat,186953.09937806986,33558.41259432227,208476.502094778
case_191_optimal_k_cases_turbsim_ref_outdata_191.mat,151920.56252676802,7573.732703363062,57564.61076838496
case_337_optimal_k_cases_turbsim_ref_outdata_337.mat,142950.95077249384,5711.147533026701,34857.753401253554
case_33_optimal_k_cases_turbsim_ref_outdata_33.mat,193218.96888286437,37218.0426806372,227951.7300605995
case_342_optimal_k_cases_turbsim_ref_outdata_342.mat,151522.85276529504,30154.069210806196,174341.1811767319
case_309_optimal_k_cases_turbsim_ref_outdata_309.mat,186336.73118840903,40515.5061772206,242899.36329221242
case_299_optimal_k_cases_turbsim_ref_outdata_299.mat,151115.06859426695,11840.635008722404,45603.68318344811
case_89_optimal_k_cases_turbsim_ref_outdata_89.mat,140251.15976736537,5310.139527699108,32121.030779945162
case_183_optimal_k_cases_turbsim_ref_outdata_183.mat,247967.39169349143,45980.755827005225,313049.15168693603
